Map unit symbol,Map unit name,Rating (centimeters),Acres in AOI,Percent of AOI
AcD,"Ashe-Cleveland-Rock outcrop complex, 15 to 30 percent slopes, very stony",76,"2,316.30",0.50%
ArE,"Ashe-Cleveland-Rock outcrop complex, 30 to 50 percent slopes, very bouldery",76,"8,538.10",2.00%
ArF,"Ashe-Cleveland-Rock outcrop complex, 50 to 95 percent slopes, very bouldery",76,"12,707.20",3.00%
BaD,"Balsam-Tanasee complex, 15 to 30 percent slopes, extremely bouldery",>200,221.4,0.10%
BaE,"Balsam-Tanasee complex, 30 to 50 percent slopes, extremely bouldery",>200,"1,356.40",0.30%
BeA,"Biltmore loamy sand, 0 to 3 percent slopes, occasionally flooded",>200,559.4,0.10%
BkB2,"Braddock clay loam, 2 to 8 percent slopes, moderately eroded",>200,445.3,0.10%
BkC2,"Braddock clay loam, 8 to 15 percent slopes, moderately eroded",>200,876.8,0.20%
BkD2,"Braddock clay loam, 15 to 30 percent slopes, moderately eroded",>200,534.1,0.10%
BnB,"Braddock-Urban land complex, 2 to 8 percent slopes",>200,201.9,0.00%
BnC,"Braddock-Urban land complex, 8 to 15 percent slopes",>200,187.1,0.00%
BpF,"Breakneck-Pullback complex, windswept, 50 to 95 percent slopes, very rocky",71,8.9,0.00%
BwD,"Burton-Craggey complex, windswept, 15 to 30 percent slopes, rocky",74,410,0.10%
BxE,"Burton-Craggey-Rock outcrop complex, windswept, 30 to 50 percent slopes, very bouldery",74,"1,510.50",0.40%
BxF,"Burton-Craggey-Rock outcrop complex, windswept, 50 to 95 percent slopes, very bouldery",74,"2,261.40",0.50%
CaE,"Cataska-Sylco complex, 30 to 50 percent slopes, very rocky",41,64.4,0.00%
CdF,"Cataska-Sylco-Rock outcrop complex, 50 to 95 percent slopes, very stony",30,425.2,0.10%
ChD,"Cheoah-Jeffrey complex, 15 to 30 percent slopes, stony",130,20.4,0.00%
ChE,"Cheoah-Jeffrey complex, 30 to 50 percent slopes, stony",130,39.3,0.00%
ChF,"Cheoah-Jeffrey complex, 50 to 95 percent slopes, stony",130,78.6,0.00%
CkB2,"Clifton clay loam, 2 to 8 percent slopes, moderately eroded",>200,"2,279.60",0.50%
