IsLandslide,Sort_Date,X,Y,geometry,Max_Rainfall_30day,Avg_Rainfall_30day,MapMethod,County,GlobalID,SM_Rate_2,Col_Date,Project,Confidence,OBJECTID,Fatalities,Quad,SM_Rate_1,Slp_Config,SM_Type_2,SM_Mat_1,SM_Mat_2,SM_Type_1,SM_State,Mvmnt_Date,Process_ID
1,1981-03-25 00:00:00,288963.4943,226803.9998,POINT (-82.54577999979878 35.742911999929326),13.521,1.6638668,,Buncombe,{CD558049-66E5-4595-BB55-AFCDB6035B63},,1981-03-25,Landslide Hazard Mapping,,58172.0,,Weaverville,,Road embankment,,Debris,,Slide - rotational,,,661.0
1,1982-05-25 00:00:00,293471.065200001,216042.260299999,POINT (-82.49178999967216 35.64741000026867),21.59,3.7231333,,Buncombe,{C0F5BE0D-6A77-42A4-969C-74646BC49E8A},,1982-05-25,Landslide Hazard Mapping,,58173.0,,Craggy Pinnacle,,Road cut,Slide - rotational,Debris,Earth,Slide - rotational,,,662.0
1,1989-07-22 00:00:00,289777.368199997,230247.398600001,POINT (-82.53814400033042 35.77419099998552),23.754,3.1898334,,Buncombe,{C7DED0AC-84B4-4BB1-B1CE-829D5992A0C2},,1989-07-22,Landslide Hazard Mapping,,58178.0,,Mars Hill,,Road cut,,Earth,,Slide - translational,,,667.0
1,1990-05-22 00:00:00,287403.624899998,223755.447500002,POINT (-82.56180600048737 35.71494800035053),22.443,3.3064668,,Buncombe,{F5D566F9-1D86-46F5-8B34-5D0E88F70D6E},,1990-05-22,Landslide Hazard Mapping,,58190.0,,Weaverville,,Road cut,Fall,Rock,Debris,Slide,,,677.0
1,1990-05-23 00:00:00,295886.432400003,208999.858100001,POINT (-82.4624209997981 35.584732000344125),25.374,3.7131336,,Buncombe,{8DD9871F-3989-444B-A2C0-09F17D7D900E},,1990-05-23,Landslide Hazard Mapping,,58186.0,,Oteen,,Road cut,,Weathered rock,,Slide,,,676.0
1,1990-05-23 00:00:00,303556.827500001,210237.813000001,POINT (-82.37829500051298 35.598266000043985),34.709,4.897633,,Buncombe,{DD2FBB57-01E4-495F-85BB-01EF06D15603},,1990-05-23,Landslide Hazard Mapping,,58184.0,,Oteen,,Road embankment,,Earth,,Slide - rotational,,,673.0
1,1990-05-23 00:00:00,309170.0044,211623.693799999,POINT (-82.31689100031824 35.612457000190055),32.418,4.660733,,Buncombe,{A2FAA910-F4AC-4EFB-8B85-F1FA703FB312},,1990-05-23,Landslide Hazard Mapping,,58183.0,,Black Mountain,,Road cut,,Weathered rock,,Slide - rotational,,,672.0
1,1990-05-23 00:00:00,285236.660099998,207087.397999998,POINT (-82.57910000023442 35.56410000004779),40.502,3.6915002,,Buncombe,{870F1001-23AF-46D0-AF41-771E715F15B6},,1990-05-23,Landslide Hazard Mapping,,58181.0,,Asheville,,Road embankment,,Earth,,Slide,,,670.0
1,1990-05-23 00:00:00,286450.089000002,222595.9826,POINT (-82.57187700002726 35.7041950001828),24.229,3.3708,,Buncombe,{11782408-4559-404F-A996-AFC686876FB3},,1990-05-23,Landslide Hazard Mapping,,58179.0,,Weaverville,,Road embankment,,Debris,,Slide,,,668.0
1,1990-06-05 00:00:00,313888.132600002,200290.027899999,POINT (-82.2607299999578 35.51176000044017),41.719,3.4093332,,Buncombe,{CB274BCD-0EF7-49C1-9307-E2E04A1D92BD},,1990-06-05,Landslide Hazard Mapping,,58192.0,,Black Mountain,,Road embankment,Slide - rotational,Debris,Earth,Slide - rotational,,,679.0
