X,Y,IsLandslide,geometry
294655.5612,217780.137800001,1,POINT (294655.5612 217780.137800001)
283597.691299997,199444.660399999,1,POINT (283597.691299997 199444.660399999)
309606.524300002,225251.915600002,1,POINT (309606.524300002 225251.915600002)
309903.8178,224923.396499999,1,POINT (309903.8178 224923.396499999)
275138.453299999,197994.27,1,POINT (275138.453299999 197994.27)
277000.372000001,196806.5075,1,POINT (277000.372000001 196806.5075)
278342.997299999,199955.242400002,1,POINT (278342.997299999 199955.242400002)
277183.502700001,197102.916200001,1,POINT (277183.502700001 197102.916200001)
274690.545400001,198180.661899999,1,POINT (274690.545400001 198180.661899999)
274831.793200001,198221.0341,1,POINT (274831.793200001 198221.0341)
275046.8957,198294.076299999,1,POINT (275046.8957 198294.076299999)
274221.723800004,197117.8497,1,POINT (274221.723800004 197117.8497)
274868.799699999,197675.362300001,1,POINT (274868.799699999 197675.362300001)
318626.112300001,202637.203299999,1,POINT (318626.112300001 202637.203299999)
297772.001599997,209321.451299999,1,POINT (297772.001599997 209321.451299999)
298048.144599997,209361.830200002,1,POINT (298048.144599997 209361.830200002)
270057.140600003,213245.291499998,1,POINT (270057.140600003 213245.291499998)
275505.967399999,198476.9595,1,POINT (275505.967399999 198476.9595)
275525.265299998,198595.692899998,1,POINT (275525.265299998 198595.692899998)
275999.318599999,198842.986699998,1,POINT (275999.318599999 198842.986699998)
275804.451700002,199055.473499998,1,POINT (275804.451700002 199055.473499998)
276250.692299999,198746.306899998,1,POINT (276250.692299999 198746.306899998)
280718.0044,193465.979499999,1,POINT (280718.0044 193465.979499999)
277152.242899999,199524.0174,1,POINT (277152.242899999 199524.0174)
277205.434,199403.2698,1,POINT (277205.434 199403.2698)
277421.681199998,199466.888900001,1,POINT (277421.681199998 199466.888900001)
277504.395499997,198507.358399998,1,POINT (277504.395499997 198507.358399998)
276980.117799997,197071.907299999,1,POINT (276980.117799997 197071.907299999)
281491.271399997,197112.289299998,1,POINT (281491.271399997 197112.289299998)
276901.8125,196945.916299999,1,POINT (276901.8125 196945.916299999)
276855.431199998,196661.553599998,1,POINT (276855.431199998 196661.553599998)
276805.7016,196537.282499999,1,POINT (276805.7016 196537.282499999)
278446.238899998,199731.306899998,1,POINT (278446.238899998 199731.306899998)
277894.7311,198842.319200002,1,POINT (277894.7311 198842.319200002)
278149.0612,198712.058600001,1,POINT (278149.0612 198712.058600001)
274117.452100001,197217.316799998,1,POINT (274117.452100001 197217.316799998)
288234.731299996,207699.099300001,1,POINT (288234.731299996 207699.099300001)
278193.608199999,198681.555300001,1,POINT (278193.608199999 198681.555300001)
278299.841200002,197768.7951,1,POINT (278299.841200002 197768.7951)
278894.340800002,196189.122000001,1,POINT (278894.340800002 196189.122000001)
276570.263800003,196042.772799999,1,POINT (276570.263800003 196042.772799999)
278505.722099997,194949.207400002,1,POINT (278505.722099997 194949.207400002)
308926.512699999,214992.545600001,1,POINT (308926.512699999 214992.545600001)
294057.405500002,219095.731699999,1,POINT (294057.405500002 219095.731699999)
278200.682999998,195355.848200001,1,POINT (278200.682999998 195355.848200001)
278355.705600001,195449.054400001,1,POINT (278355.705600001 195449.054400001)
278540.475699998,194921.065200001,1,POINT (278540.475699998 194921.065200001)
278538.078299999,195478.425700001,1,POINT (278538.078299999 195478.425700001)
278449.765600003,195739.4397,1,POINT (278449.765600003 195739.4397)
280299.663900003,193543.208900001,1,POINT (280299.663900003 193543.208900001)
280654.162699997,193339.762499999,1,POINT (280654.162699997 193339.762499999)
279165.488399997,199821.765900001,1,POINT (279165.488399997 199821.765900001)
278242.174800001,198400.1296,1,POINT (278242.174800001 198400.1296)
278038.0876,197074.510200001,1,POINT (278038.0876 197074.510200001)
277985.642999999,196868.629000001,1,POINT (277985.642999999 196868.629000001)
279344.117700003,202660.103700001,1,POINT (279344.117700003 202660.103700001)
279616.674800001,202838.8233,1,POINT (279616.674800001 202838.8233)
281797.4507,197141.432,1,POINT (281797.4507 197141.432)
278473.948299997,197179.692299999,1,POINT (278473.948299997 197179.692299999)
270032.854099996,213312.709600002,1,POINT (270032.854099996 213312.709600002)
311493.540100001,224218.409200001,1,POINT (311493.540100001 224218.409200001)
311465.130500004,224229.676199999,1,POINT (311465.130500004 224229.676199999)
301086.2478,220467.2366,1,POINT (301086.2478 220467.2366)
309651.745499998,225031.611699998,1,POINT (309651.745499998 225031.611699998)
307863.539800003,226780.522999998,1,POINT (307863.539800003 226780.522999998)
277082.840099998,210349.298,1,POINT (277082.840099998 210349.298)
277058.548811354,210219.775711354,1,POINT (277058.548811354 210219.775711354)
276982.017399997,210173.183499999,1,POINT (276982.017399997 210173.183499999)
277020.884599999,210096.255199999,1,POINT (277020.884599999 210096.255199999)
276977.151799999,209919.138999999,1,POINT (276977.151799999 209919.138999999)
270712.609702996,195163.949986,1,POINT (270712.609702996 195163.949986)
277934.0942,217050.397700001,1,POINT (277934.0942 217050.397700001)
271895.041100003,211471.022599999,1,POINT (271895.041100003 211471.022599999)
270060.966300003,213200.1842,1,POINT (270060.966300003 213200.1842)
304250.813600004,223190.075199999,1,POINT (304250.813600004 223190.075199999)
301653.486900002,221641.320599999,1,POINT (301653.486900002 221641.320599999)
301634.7883,221666.383699998,1,POINT (301634.7883 221666.383699998)
301676.953400001,221776.3895,1,POINT (301676.953400001 221776.3895)
288963.4943,226803.9998,1,POINT (288963.4943 226803.9998)
293471.065200001,216042.260299999,1,POINT (293471.065200001 216042.260299999)
268455.310000002,220493.6754,1,POINT (268455.310000002 220493.6754)
304467.740699999,231952.1668,1,POINT (304467.740699999 231952.1668)
289777.368199997,230247.398600001,1,POINT (289777.368199997 230247.398600001)
286450.089000002,222595.9826,1,POINT (286450.089000002 222595.9826)
274477.866599999,206382.5251,1,POINT (274477.866599999 206382.5251)
285236.660099998,207087.397999998,1,POINT (285236.660099998 207087.397999998)
292366.953400001,207182.714000002,1,POINT (292366.953400001 207182.714000002)
309170.0044,211623.693799999,1,POINT (309170.0044 211623.693799999)
303556.827500001,210237.813000001,1,POINT (303556.827500001 210237.813000001)
289641.093353194,210463.525667889,1,POINT (289641.093353194 210463.525667889)
295886.432400003,208999.858100001,1,POINT (295886.432400003 208999.858100001)
287403.624899998,223755.447500002,1,POINT (287403.624899998 223755.447500002)
313235.048199996,200493.546500001,1,POINT (313235.048199996 200493.546500001)
313888.132600002,200290.027899999,1,POINT (313888.132600002 200290.027899999)
275079.193000004,225903.812899999,1,POINT (275079.193000004 225903.812899999)
270048.679300003,213182.1083,1,POINT (270048.679300003 213182.1083)
269967.997299999,213194.149700001,1,POINT (269967.997299999 213194.149700001)
314129.586978264,200111.68468841,1,POINT (314129.586978264 200111.68468841)
293920.939599998,219107.077100001,1,POINT (293920.939599998 219107.077100001)
293947.124600001,219200.0715,1,POINT (293947.124600001 219200.0715)
279621.443099998,195648.800700001,1,POINT (279621.443099998 195648.800700001)
280208.284000002,193764.572900001,1,POINT (280208.284000002 193764.572900001)
280247.073600002,193635.3825,1,POINT (280247.073600002 193635.3825)
293288.683200002,215520.274099998,1,POINT (293288.683200002 215520.274099998)
269985.797300003,213082.235800002,1,POINT (269985.797300003 213082.235800002)
316880.544100001,201492.292599998,1,POINT (316880.544100001 201492.292599998)
316836.361500002,201486.9593,1,POINT (316836.361500002 201486.9593)
309325.902800001,209349.170499999,1,POINT (309325.902800001 209349.170499999)
309313.1796,209293.983899999,1,POINT (309313.1796 209293.983899999)
310999.046899997,214949.8464,1,POINT (310999.046899997 214949.8464)
270343.773500003,209297.642299999,1,POINT (270343.773500003 209297.642299999)
270577.793399997,209363.307500001,1,POINT (270577.793399997 209363.307500001)
270568.828599997,209322.791000001,1,POINT (270568.828599997 209322.791000001)
270295.457400002,209747.645,1,POINT (270295.457400002 209747.645)
310791.233408644,224438.679714088,1,POINT (310791.233408644 224438.679714088)
292608.238799997,224535.7238,1,POINT (292608.238799997 224535.7238)
292623.145099998,224534.864300001,1,POINT (292623.145099998 224534.864300001)
292732.409699999,224588.732700001,1,POINT (292732.409699999 224588.732700001)
274977.972999997,197375.4549,1,POINT (274977.972999997 197375.4549)
267429.103500001,209605.7152,1,POINT (267429.103500001 209605.7152)
267427.415899999,209628.094300002,1,POINT (267427.415899999 209628.094300002)
267434.192400001,209646.487599999,1,POINT (267434.192400001 209646.487599999)
267439.245499998,209621.982099999,1,POINT (267439.245499998 209621.982099999)
263835.151299998,216892.151500002,1,POINT (263835.151299998 216892.151500002)
308996.998099998,215471.607000001,1,POINT (308996.998099998 215471.607000001)
270001.057599999,213330.120000001,1,POINT (270001.057599999 213330.120000001)
295714.1241,218106.860100001,1,POINT (295714.1241 218106.860100001)
295489.840499997,218112.369800001,1,POINT (295489.840499997 218112.369800001)
301079.830700003,220594.116999999,1,POINT (301079.830700003 220594.116999999)
303784.158799998,221266.664299998,1,POINT (303784.158799998 221266.664299998)
270002.640500002,213309.632599998,1,POINT (270002.640500002 213309.632599998)
270011.613200001,213319.174199998,1,POINT (270011.613200001 213319.174199998)
274155.238200001,196642.305500001,1,POINT (274155.238200001 196642.305500001)
313868.586199999,200308.318599999,1,POINT (313868.586199999 200308.318599999)
295505.634800002,203479.728,1,POINT (295505.634800002 203479.728)
310294.971100003,224583.321199998,1,POINT (310294.971100003 224583.321199998)
296335.122900002,217650.357000001,1,POINT (296335.122900002 217650.357000001)
296165.380099997,217978.2049,1,POINT (296165.380099997 217978.2049)
295407.023599997,225511.904300001,1,POINT (295407.023599997 225511.904300001)
296246.235799998,225194.9318,1,POINT (296246.235799998 225194.9318)
310898.594400004,215010.795499999,1,POINT (310898.594400004 215010.795499999)
310942.372097208,214897.208799311,1,POINT (310942.372097208 214897.208799311)
310530.0691,215015.617699999,1,POINT (310530.0691 215015.617699999)
311539.132308753,215725.411460987,1,POINT (311539.132308753 215725.411460987)
309236.451200001,214885.717500001,1,POINT (309236.451200001 214885.717500001)
304831.121100001,222395.636100002,1,POINT (304831.121100001 222395.636100002)
293388.061099999,212725.229800001,1,POINT (293388.061099999 212725.229800001)
293205.315099999,213142.061299998,1,POINT (293205.315099999 213142.061299998)
283662.6197,200029.215100002,1,POINT (283662.6197 200029.215100002)
283644.023100004,199929.314100001,1,POINT (283644.023100004 199929.314100001)
304052.827500001,222168.773600001,1,POINT (304052.827500001 222168.773600001)
309707.939000003,224979.781199999,1,POINT (309707.939000003 224979.781199999)
314558.276699997,200877.293299999,1,POINT (314558.276699997 200877.293299999)
314992.579800002,200039.581799999,1,POINT (314992.579800002 200039.581799999)
314970.854400001,199930.4067,1,POINT (314970.854400001 199930.4067)
310010.969400004,211451.654800002,1,POINT (310010.969400004 211451.654800002)
307808.162,204288.059300002,1,POINT (307808.162 204288.059300002)
274091.8486,196498.5748,1,POINT (274091.8486 196498.5748)
274236.265000001,196177.030200001,1,POINT (274236.265000001 196177.030200001)
267626.133400001,210050.288600001,1,POINT (267626.133400001 210050.288600001)
272546.123800002,195966.2733,1,POINT (272546.123800002 195966.2733)
267436.547499999,209686.920000002,1,POINT (267436.547499999 209686.920000002)
269363.5198,194740.923099998,1,POINT (269363.5198 194740.923099998)
269944.726599999,213338.798999999,1,POINT (269944.726599999 213338.798999999)
269947.172200002,213377.119199999,1,POINT (269947.172200002 213377.119199999)
270043.025200002,213428.340300001,1,POINT (270043.025200002 213428.340300001)
280813.774099998,196628.2487,1,POINT (280813.774099998 196628.2487)
278181.462899998,198472.523899999,1,POINT (278181.462899998 198472.523899999)
278141.242299996,198398.6281,1,POINT (278141.242299996 198398.6281)
276954.101599999,196483.2863,1,POINT (276954.101599999 196483.2863)
291228.618600003,198370.146899998,1,POINT (291228.618600003 198370.146899998)
291410.435599998,221995.1741,1,POINT (291410.435599998 221995.1741)
292607.376900002,221308.852899998,1,POINT (292607.376900002 221308.852899998)
280044.940700002,200164.847800001,1,POINT (280044.940700002 200164.847800001)
