k,features,Accuracy,Precision,Recall,F1,ROC_AUC,Brier,error,TimeSec
4,"['Max_Rainfall_30day', 'R3d', 'R7d', 'R30d']",0.5927152317880795,0.5848484848484848,0.6390728476821192,0.6107594936708861,0.6142822683215647,0.24095666475115213,,0.0234
4,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R7d', 'R30d']",0.5894039735099338,0.5818181818181818,0.6357615894039735,0.6075949367088608,0.620564887504934,0.23992496905238947,,0.0228
5,"['Max_Rainfall_30day', 'R1d', 'R3d', 'R7d', 'R30d']",0.5894039735099338,0.5823170731707317,0.6324503311258278,0.6063492063492063,0.6126156747511073,0.24129367574594393,,0.049
3,"['Max_Rainfall_30day', 'R7d', 'R30d']",0.5844370860927153,0.5825242718446602,0.5960264900662252,0.5891980360065466,0.6002916538748301,0.24156986283994147,,0.0221
5,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R7d', 'R30d']",0.5844370860927153,0.5784615384615385,0.6225165562913907,0.5996810207336523,0.6189640805227841,0.2402663014094637,,0.0237
4,"['Max_Rainfall_30day', 'R1d', 'R7d', 'R30d']",0.5827814569536424,0.5791139240506329,0.6059602649006622,0.5922330097087378,0.6029450462699004,0.24168918956922006,,0.0226
5,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R3d', 'R7d', 'R30d']",0.5761589403973509,0.5705521472392638,0.6158940397350994,0.5923566878980892,0.6111574053769573,0.24102079719679076,,0.0247
6,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R3d', 'R7d', 'R30d']",0.5728476821192053,0.5674846625766872,0.6125827814569537,0.589171974522293,0.6097868514538838,0.24130937214225007,,0.0249
2,"['R1d', 'R30d']",0.5711920529801324,0.5576407506702413,0.6887417218543046,0.6162962962962963,0.5517959738607956,0.25088323882846236,,0.0208
1,['R30d'],0.5612582781456954,0.5501355013550135,0.6721854304635762,0.6050670640834576,0.5543726152361739,0.24975899335821644,,0.0212
