k,features,Accuracy,Precision,Recall,F1,ROC_AUC,Brier,error,TimeSec
1,['Avg_Rainfall_30day'],0.7102649006622517,0.6840579710144927,0.7814569536423841,0.7295208655332303,0.7708269374150257,0.22922699337748345,,2.6232
1,['Max_Rainfall_30day'],0.7036423841059603,0.6793002915451894,0.7715231788079471,0.7224806201550388,0.7498081224507698,0.23892552068176529,,2.5744
1,['Max_Rainfall_3day'],0.609271523178808,0.5948275862068966,0.6854304635761589,0.6369230769230769,0.6871409148721546,0.2531636018624235,,2.5851
1,['R1d'],0.5827814569536424,0.5525210084033614,0.8708609271523179,0.6760925449871465,0.5942776632603834,0.25783870171651657,,2.5883
1,['R3d'],0.6423841059602649,0.6279761904761905,0.6986754966887417,0.6614420062695925,0.7105335292311742,0.24044171341435056,,2.559
1,['R7d'],0.6605960264900662,0.6483180428134556,0.7019867549668874,0.6740858505564388,0.6919981579755274,0.26877010534541784,,2.5913
1,['R30d'],0.7135761589403974,0.6869565217391305,0.7847682119205298,0.732612055641422,0.7691110039033376,0.2296298145695364,,2.5555
1,['API_14'],0.6986754966887417,0.6734104046242775,0.7715231788079471,0.7191358024691358,0.7393370904784877,0.2441857483443709,,3.9207
2,"['Avg_Rainfall_30day', 'Max_Rainfall_30day']",0.7466887417218543,0.72782874617737,0.7880794701986755,0.7567567567567568,0.821389412745055,0.18139505298013245,,2.6816
2,"['Avg_Rainfall_30day', 'Max_Rainfall_3day']",0.7367549668874173,0.7109144542772862,0.7980132450331126,0.7519500780031201,0.8163896320336828,0.18423735099337749,,3.0659
2,"['Avg_Rainfall_30day', 'R1d']",0.7119205298013245,0.6927710843373494,0.7615894039735099,0.7255520504731862,0.7867801850796018,0.2075926953642384,,2.6622
2,"['Avg_Rainfall_30day', 'R3d']",0.7284768211920529,0.7053571428571429,0.7847682119205298,0.7429467084639498,0.8043835796675585,0.19093402649006622,,2.5803
2,"['Avg_Rainfall_30day', 'R7d']",0.7102649006622517,0.6873156342182891,0.7715231788079471,0.7269890795631825,0.8006447085654138,0.19381712582781457,,2.6424
2,"['Avg_Rainfall_30day', 'R30d']",0.7152317880794702,0.688953488372093,0.7847682119205298,0.7337461300309598,0.7720494715144073,0.22783117218543047,,2.6031
2,"['Avg_Rainfall_30day', 'API_14']",0.7367549668874173,0.7084548104956269,0.804635761589404,0.7534883720930232,0.8306379106179553,0.17619220529801324,,2.6759
2,"['Max_Rainfall_30day', 'Max_Rainfall_3day']",0.7284768211920529,0.7041420118343196,0.7880794701986755,0.74375,0.8117352309109249,0.18817506622516558,,2.7265
2,"['Max_Rainfall_30day', 'R1d']",0.7317880794701986,0.7095808383233533,0.7847682119205298,0.7452830188679245,0.7910782421823604,0.20342871594500925,,3.2335
