k_rain,rain_features,all_features,Accuracy,Precision,Recall,F1,ROC_AUC,Brier,error,TimeSec
4,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R7d', 'R30d']","['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R7d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.8079470198675497,0.7870370370370371,0.8443708609271523,0.8146964856230032,0.8884972150344282,0.13895376158940398,,2.7085
4,"['Max_Rainfall_30day', 'R1d', 'R7d', 'R30d']","['Max_Rainfall_30day', 'R1d', 'R7d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.8062913907284768,0.7899686520376176,0.8344370860927153,0.8115942028985508,0.8822420069295205,0.14185649668874173,,2.8151
4,"['Max_Rainfall_30day', 'R3d', 'R7d', 'R30d']","['Max_Rainfall_30day', 'R3d', 'R7d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.804635761589404,0.7822085889570553,0.8443708609271523,0.8121019108280255,0.8900706109381167,0.13852939735099337,,2.7248
5,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R7d', 'R30d']","['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R7d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.8013245033112583,0.784375,0.8311258278145696,0.8070739549839229,0.8899719310556554,0.13903590728476822,,2.6131
6,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R3d', 'R7d', 'R30d']","['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R3d', 'R7d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.8013245033112583,0.7861635220125787,0.8278145695364238,0.8064516129032258,0.8826093153809044,0.14224679470198678,,2.8143
5,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R3d', 'R7d', 'R30d']","['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R3d', 'R7d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7996688741721855,0.7819314641744548,0.8311258278145696,0.8057784911717496,0.891364413841498,0.1377216953642384,,2.643
3,"['Max_Rainfall_30day', 'R7d', 'R30d']","['Max_Rainfall_30day', 'R7d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7963576158940397,0.7753846153846153,0.8344370860927153,0.8038277511961722,0.8867154949344327,0.13959562913907286,,2.5831
3,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R30d']","['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7963576158940397,0.7753846153846153,0.8344370860927153,0.8038277511961722,0.8688434717775535,0.14864650993377482,,2.7309
5,"['Max_Rainfall_30day', 'R1d', 'R3d', 'R7d', 'R30d']","['Max_Rainfall_30day', 'R1d', 'R3d', 'R7d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7963576158940397,0.780564263322884,0.8245033112582781,0.8019323671497585,0.8867264593658173,0.14058547682119205,,2.7528
4,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R30d']","['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7947019867549668,0.7763975155279503,0.8278145695364238,0.8012820512820513,0.8703675277400114,0.1483682119205298,,3.0607
4,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R3d', 'R30d']","['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R3d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.793046357615894,0.7689969604863222,0.8377483443708609,0.8019017432646592,0.8721766589184684,0.14718201986754967,,2.7482
4,"['Max_Rainfall_30day', 'R1d', 'R3d', 'R30d']","['Max_Rainfall_30day', 'R1d', 'R3d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.793046357615894,0.7723076923076924,0.8311258278145696,0.8006379585326954,0.8704442787597035,0.14842266225165562,,2.6562
4,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R3d', 'R7d']","['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R3d', 'R7d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7913907284768212,0.7699386503067485,0.8311258278145696,0.7993630573248408,0.8670288583834043,0.15050479470198677,,3.3251
3,"['Max_Rainfall_3day', 'R7d', 'R30d']","['Max_Rainfall_3day', 'R7d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7897350993377483,0.7675840978593272,0.8311258278145696,0.7980922098569158,0.8734814262532344,0.14706619205298013,,2.6472
3,"['Max_Rainfall_30day', 'R3d', 'R30d']","['Max_Rainfall_30day', 'R3d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7897350993377483,0.7627627627627628,0.8410596026490066,0.8,0.8690079382483223,0.14878523178807948,,2.5876
3,"['R1d', 'R7d', 'R30d']","['R1d', 'R7d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7897350993377483,0.7708978328173375,0.8245033112582781,0.7968,0.8677579930704794,0.14970213245033115,,2.9349
5,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R3d', 'R30d']","['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R3d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7897350993377483,0.7659574468085106,0.8344370860927153,0.7987321711568938,0.8747807113723082,0.14679999337748342,,2.6979
5,"['Max_Rainfall_3day', 'R1d', 'R3d', 'R7d', 'R30d']","['Max_Rainfall_3day', 'R1d', 'R3d', 'R7d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7880794701986755,0.7753164556962026,0.8112582781456954,0.7928802588996764,0.8751589842550764,0.1464506225165563,,3.0946
4,"['Max_Rainfall_3day', 'R3d', 'R7d', 'R30d']","['Max_Rainfall_3day', 'R3d', 'R7d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7864238410596026,0.7711598746081505,0.8145695364238411,0.7922705314009661,0.8758004034910749,0.14560921854304637,,2.7864
4,"['Max_Rainfall_3day', 'R1d', 'R7d', 'R30d']","['Max_Rainfall_3day', 'R1d', 'R7d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7864238410596026,0.7678018575851393,0.8211920529801324,0.7936,0.8735198017630805,0.14758601986754968,,2.6458
5,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R3d', 'R7d']","['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R3d', 'R7d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7864238410596026,0.7661538461538462,0.8245033112582781,0.7942583732057417,0.8676264198938644,0.15062499337748345,,2.9348
3,"['Max_Rainfall_30day', 'R1d', 'R30d']","['Max_Rainfall_30day', 'R1d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7847682119205298,0.7638036809815951,0.8245033112582781,0.7929936305732485,0.8623196351037234,0.15236639072847682,,2.6282
4,"['R1d', 'R3d', 'R7d', 'R30d']","['R1d', 'R3d', 'R7d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7847682119205298,0.76875,0.8145695364238411,0.7909967845659164,0.8726865049778519,0.14811164238410596,,2.7117
4,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R7d']","['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R7d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7847682119205298,0.7590361445783133,0.8344370860927153,0.7949526813880127,0.8661736327354064,0.1519392450331126,,2.608
2,"['R7d', 'R30d']","['R7d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7831125827814569,0.7567567567567568,0.8344370860927153,0.7937007874015748,0.8709870181132405,0.14737906622516558,,2.7029
3,"['R3d', 'R7d', 'R30d']","['R3d', 'R7d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7831125827814569,0.7663551401869159,0.8145695364238411,0.7897271268057785,0.8728783825270822,0.14736006622516556,,2.614
3,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R7d']","['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R7d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7814569536423841,0.7575757575757576,0.8278145695364238,0.7911392405063291,0.8643864304197184,0.1523597748344371,,2.8039
4,"['Max_Rainfall_30day', 'R1d', 'R3d', 'R7d']","['Max_Rainfall_30day', 'R1d', 'R3d', 'R7d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7814569536423841,0.7544910179640718,0.8344370860927153,0.7924528301886793,0.8657186088329458,0.1524039271523179,,2.7202
3,"['Max_Rainfall_3day', 'R3d', 'R30d']","['Max_Rainfall_3day', 'R3d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7798013245033113,0.756838905775076,0.8245033112582781,0.7892234548335975,0.8547870707425113,0.1561365894039735,,2.6728
2,"['Max_Rainfall_3day', 'R30d']","['Max_Rainfall_3day', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7781456953642384,0.7545454545454545,0.8245033112582781,0.7879746835443038,0.8455605017323801,0.15957188741721856,,2.6591
3,"['Max_Rainfall_3day', 'R1d', 'R30d']","['Max_Rainfall_3day', 'R1d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7781456953642384,0.7530120481927711,0.8278145695364238,0.7886435331230284,0.849732467874216,0.15877650331125825,,2.5901
4,"['Max_Rainfall_3day', 'R1d', 'R3d', 'R7d']","['Max_Rainfall_3day', 'R1d', 'R3d', 'R7d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7748344370860927,0.7577639751552795,0.8079470198675497,0.782051282051282,0.843844568220692,0.16200370860927155,,2.8356
2,"['Max_Rainfall_30day', 'R7d']","['Max_Rainfall_30day', 'R7d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7731788079470199,0.746268656716418,0.8278145695364238,0.7849293563579278,0.8599732467874217,0.15389711258278146,,2.5714
2,"['Max_Rainfall_30day', 'R30d']","['Max_Rainfall_30day', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7731788079470199,0.7507598784194529,0.8178807947019867,0.7828843106180665,0.8554723477040481,0.15504735761589403,,2.6946
3,"['Max_Rainfall_30day', 'R1d', 'R7d']","['Max_Rainfall_30day', 'R1d', 'R7d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7731788079470199,0.7538461538461538,0.8112582781456954,0.7814992025518341,0.8541017937809745,0.1572802582781457,,2.6036
4,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R3d']","['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R3d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7731788079470199,0.7538461538461538,0.8112582781456954,0.7814992025518341,0.8455769483794571,0.16115592715231788,,2.7378
3,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R3d']","['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R3d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7715231788079471,0.75,0.8145695364238411,0.780952380952381,0.8405004166483926,0.16299094701986752,,2.8275
4,"['Max_Rainfall_3day', 'R1d', 'R3d', 'R30d']","['Max_Rainfall_3day', 'R1d', 'R3d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7698675496688742,0.7418397626112759,0.8278145695364238,0.7824726134585289,0.8567332573132757,0.15603647019867548,,2.7092
2,"['R1d', 'R30d']","['R1d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7682119205298014,0.7410714285714286,0.8245033112582781,0.780564263322884,0.8394094557256262,0.1642366357615894,,2.6237
3,"['Max_Rainfall_30day', 'R3d', 'R7d']","['Max_Rainfall_30day', 'R3d', 'R7d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7682119205298014,0.7410714285714286,0.8245033112582781,0.780564263322884,0.8669027674224815,0.1515358344370861,,2.7574
3,"['R1d', 'R3d', 'R30d']","['R1d', 'R3d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7665562913907285,0.743202416918429,0.8145695364238411,0.7772511848341233,0.8501765273452919,0.15874192715231789,,2.6656
1,['R7d'],"['R7d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7632450331125827,0.7446153846153846,0.8013245033112583,0.7719298245614035,0.8148820227183018,0.17497584105960265,,2.6467
