index,raw_Max_Rainfall_30day,raw_Max_Rainfall_3day,raw_R1d,raw_R3d,raw_Elevation_m,raw_Slope_deg,x_Max_Rainfall_30day,x_Max_Rainfall_3day,x_R1d,x_R3d,x_Elevation_m,x_Slope_deg,shap_Max_Rainfall_30day,shap_Max_Rainfall_3day,shap_R1d,shap_R3d,shap_Elevation_m,shap_Slope_deg,expected_value,shap_sum,shap_abs_sum,y_proba,y_pred,y_true,IsLandslide,Event_Date,Sort_Date,Random_Date,X,Y,County,GlobalID,OBJECTID,Data_Type,Source_Period,MUKEY,MUSYM
2,57.71900177001953,57.165000915527344,50.51900100708008,146.47700119018555,837.76416015625,2.2059390091000672,57.71900177001953,57.165000915527344,50.51900100708008,146.47700119018555,837.76416015625,2.2059390091000672,-0.027279342746556582,-0.03294816751789873,-0.013824999051991691,-0.014537184302065504,0.036627811667861054,-0.20752359522776467,0.5014854771784234,-0.25948547717841614,0.33274110051413824,0.242,0,0,0,2020-05-22 04:51:09,,2020-05-22 04:51:09,308625.51698581566,220746.64462786613,,,,NonLandslide,2017_2021,1672002.0,DEA
5,77.8572998046875,7.392399787902832,0.0,8.712899804115295,830.7734985351562,22.09202823715287,77.8572998046875,7.392399787902832,0.0,8.712899804115295,830.7734985351562,22.09202823715287,0.004870562551812619,0.08954331625324134,0.046338271290388644,0.08592556167103879,0.1261028835952573,0.053733927459840625,0.5014854771784234,0.4065145228215793,0.4065145228215793,0.908,1,1,1,2021-08-24 00:00:00,2021-08-24,,291056.044408626,197673.44689506,Buncombe,{B15A2A55-6109-4150-9F55-B80DBEE4969F},115165.0,Landslide,2017_2021,1672007.0,EDF
8,18.163000106811523,0.0,0.0,0.0,1467.292236328125,36.66775111980665,18.163000106811523,0.0,0.0,0.0,1467.292236328125,36.66775111980665,0.013901583467510553,0.019205240694628433,0.029760732140380598,0.008712997646788205,-0.012514562791140561,0.3574485316634105,0.5014854771784234,0.41651452282157775,0.44154364840385885,0.918,1,1,1,2005-05-11 00:00:00,2005-05-11,,301676.953400001,221776.3895,Buncombe,{B45EC937-033E-44FC-848D-B68CD783798D},58159.0,Landslide,2005_2010,1671995.0,CXF
9,42.99399948120117,0.0,0.0,0.0,958.2073364257812,13.093067418708271,42.99399948120117,0.0,0.0,0.0,958.2073364257812,13.093067418708271,-0.051757122394916005,-0.06662485903418945,-0.005847605561776172,-0.05962143034203339,0.0141156847941814,-0.24175014463968747,0.5014854771784234,-0.4114854771784211,0.4397168467667839,0.09,0,0,0,2017-05-20 07:49:53,,2017-05-20 07:49:53,300177.2599256228,215329.19244520125,,,,NonLandslide,2017_2021,1671927.0,ACD
11,31.381999969482425,0.5619999766349792,0.0,0.5619999766349792,1079.6439208984375,33.609892522392364,31.381999969482425,0.5619999766349792,0.0,0.5619999766349792,1079.6439208984375,33.609892522392364,0.04102588537859345,0.016904035758531895,0.03885219459788072,0.019872977254503488,0.044261996332948715,0.29559743349912293,0.5014854771784234,0.4565145228215812,0.4565145228215812,0.958,1,1,1,2008-02-25 00:00:00,2008-02-25,,267436.547499999,209686.920000002,Buncombe,{735AFDC8-F08A-4B6E-AAF2-E0EB55D26070},59142.0,Landslide,2005_2010,1672192.0,UKF
18,18.742000579833984,10.069000244140623,5.22599983215332,20.992000102996823,1015.5310668945312,28.40929427109924,18.742000579833984,10.069000244140623,5.22599983215332,20.992000102996823,1015.5310668945312,28.40929427109924,0.03612616590876109,-0.00020429140235717918,-0.07631288313373698,-0.047432479732749847,-0.008138502670647967,0.13047651385231146,0.5014854771784234,0.03451452282158057,0.2986908367005645,0.536,1,1,1,2008-06-30 00:00:00,2008-06-30,,300827.453599997,233842.304400001,Buncombe,{FF8147D4-30D3-420D-B5B0-06FB2E781C5C},59527.0,Landslide,2005_2010,1672015.0,EWD
27,31.46299934387207,10.019000053405762,0.4280000030994415,17.59900000691414,793.3729858398438,27.11568073144447,31.46299934387207,10.019000053405762,0.4280000030994415,17.59900000691414,793.3729858398438,27.11568073144447,0.040533058839796375,0.05745115138110169,0.07050771917260763,0.039918979736230285,0.10289813714431788,0.13120547654752893,0.5014854771784234,0.44251452282158277,0.44251452282158277,0.944,1,1,1,2008-02-29 00:00:00,2008-02-29,,270053.132299997,213602.258499999,Buncombe,{388DA286-13B8-4428-8477-A2F888F5B5CC},59275.0,Landslide,2005_2010,1672007.0,EDF
30,30.73500061035156,21.74099922180176,21.74099922180176,35.30599880218506,689.3467407226562,21.455099733065655,30.73500061035156,21.74099922180176,21.74099922180176,35.30599880218506,689.3467407226562,21.455099733065655,-0.014165125084216223,0.0334169790313539,-0.06955828820341348,0.007801519769388748,0.03016050188798173,0.08485893542048434,0.5014854771784234,0.07251452282157901,0.2399613493968384,0.574,1,0,0,2019-10-28 05:05:43,,2019-10-28 05:05:43,269415.79234918347,219422.4598037967,,,,NonLandslide,2017_2021,1672007.0,EDF
31,20.465999603271484,14.765999794006348,14.765999794006348,30.86899995803833,796.9114379882812,24.783273527710904,20.465999603271484,14.765999794006348,14.765999794006348,30.86899995803833,796.9114379882812,24.783273527710904,0.01264056488010594,0.025403567500111822,-0.0338325004047768,0.01807832115535636,0.037626291419529695,-0.007401721728749743,0.5014854771784234,0.05251452282157728,0.1349829670886304,0.554,1,1,1,2008-04-07 00:00:00,2008-04-07,,293278.329259848,200751.357855296,Buncombe,{B1152BF6-4E10-4CB2-B342-56384D38BF0D},60911.0,Landslide,2005_2010,1672006.0,EDE
33,20.802000045776367,1.7489999532699585,0.0,1.7489999532699585,734.606689453125,17.83362101979865,20.802000045776367,1.7489999532699585,0.0,1.7489999532699585,734.606689453125,17.83362101979865,-0.03334267570290996,0.0742951927756001,0.012300091897180855,0.04374348431392361,-0.02197024553999992,0.035488675077783166,0.5014854771784234,0.11051452282157785,0.22114036530739764,0.612,1,1,1,2013-09-16 00:00:00,2013-09-16 00:00:00,,296868.064842677,195664.656992986,Buncombe,{3D73426C-8CEA-4D86-8DB1-DFA860053CDF},61175.0,Landslide,2011_2016,1672082.0,SYE
