X,Y,OBJECTID,Process_ID,Project,County,Quad,Col_Date,Mvmnt_Date,SM_State,SM_Rate_1,SM_Mat_1,SM_Type_1,SM_Rate_2,SM_Mat_2,SM_Type_2,Slp_Config,Fatalities,Confidence,MapMethod,GlobalID,geometry,Sort_Date,IsLandslide
277162.503399998,199737.891800001,60623.0,5610.0,Landslide Hazard Mapping,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{E76BA3B5-30EE-4B4B-AAFB-AA092E4AC0A5},POINT (277162.503399998 199737.891800001),1977-11-05 06:00:00,1
278038.0876,197074.510200001,58004.0,386.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{E0565A0C-C7D7-4ED9-AF16-51CB93D3A6E3},POINT (278038.0876 197074.510200001),1977-11-05 06:00:00,1
278242.174800001,198400.1296,58003.0,385.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,,Debris,Slide,,,,Unmodified,,,,{38B77C31-6A6D-412E-A559-113E9558A0F2},POINT (278242.174800001 198400.1296),1977-11-05 06:00:00,1
279165.488399997,199821.765900001,58002.0,383.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{AF01A193-30C5-4D28-B1EA-F3FC66DF5140},POINT (279165.488399997 199821.765900001),1977-11-05 06:00:00,1
280654.162699997,193339.762499999,58001.0,382.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{3C6D6EE1-E271-4592-946D-F8EC332686A5},POINT (280654.162699997 193339.762499999),1977-11-05 06:00:00,1
280299.663900003,193543.208900001,58000.0,381.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,,Debris,Slide,,,,Unmodified,,,,{D6040E51-8709-4AD7-8BB5-3367AF31A691},POINT (280299.663900003 193543.208900001),1977-11-05 06:00:00,1
278449.765600003,195739.4397,57999.0,365.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{8F9E081B-A0C5-4A94-9306-25F18C24416E},POINT (278449.765600003 195739.4397),1977-11-05 06:00:00,1
277985.642999999,196868.629000001,58005.0,387.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{CCEF6450-913C-4478-A420-8D8CACBB7DC8},POINT (277985.642999999 196868.629000001),1977-11-05 06:00:00,1
278538.078299999,195478.425700001,57998.0,364.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Slide,,,,Road embankment,,,,{61F2E2F6-F534-45B1-8D43-59DEE97D4B13},POINT (278538.078299999 195478.425700001),1977-11-05 06:00:00,1
278355.705600001,195449.054400001,57996.0,362.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{E13F7EA8-CB53-4284-927E-DFD5A6A4DD23},POINT (278355.705600001 195449.054400001),1977-11-05 06:00:00,1
277546.771399997,196739.047400001,60626.0,5623.0,Landslide Hazard Mapping,Buncombe,Dunsmore Mountain,2009-04-23,1977-11-05 06:00:00,,,Debris,Slide - translational,,,,Stream bank,,,,{215D9C28-5867-4B5D-8630-F69C241BFE3E},POINT (277546.771399997 196739.047400001),1977-11-05 06:00:00,1
274684.3477,198228.850099999,60615.0,5600.0,Landslide Hazard Mapping,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road unspecified,,,,{86606E9B-7081-4D4B-AE4A-0B656541A7FD},POINT (274684.3477 198228.850099999),1977-11-05 06:00:00,1
278505.722099997,194949.207400002,57990.0,357.0,Landslide Hazard Mapping,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{637CC2B3-FAA7-410D-A36E-415EC1E80F5F},POINT (278505.722099997 194949.207400002),1977-11-05 06:00:00,1
276570.263800003,196042.772799999,57989.0,356.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{B2498398-26C9-417E-8A44-A217B598B87C},POINT (276570.263800003 196042.772799999),1977-11-05 06:00:00,1
278894.340800002,196189.122000001,57988.0,355.0,Landslide Hazard Mapping,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{723DAEBF-9315-4055-97C1-83011BB9DC57},POINT (278894.340800002 196189.122000001),1977-11-05 06:00:00,1
278540.475699998,194921.065200001,57997.0,363.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{49D6D7CA-42EA-4D5D-91C2-C87F44022446},POINT (278540.475699998 194921.065200001),1977-11-05 06:00:00,1
279344.117700003,202660.103700001,58006.0,392.0,Geohazards,Buncombe,Enka,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road embankment,,,,{729C6ED8-9EA4-4F0A-B11C-36B64B281AD9},POINT (279344.117700003 202660.103700001),1977-11-05 06:00:00,1
279616.674800001,202838.8233,58007.0,393.0,Geohazards,Buncombe,Enka,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road embankment,,,,{C7C8AFA0-4621-4BD1-BDF8-B01CB16BF34B},POINT (279616.674800001 202838.8233),1977-11-05 06:00:00,1
281797.4507,197141.432,58008.0,396.0,Geohazards,Buncombe,Skyland,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{29A9B4C1-5237-46E5-950C-732B87EB696A},POINT (281797.4507 197141.432),1977-11-05 06:00:00,1
279621.443099998,195648.800700001,58233.0,370.0,Geohazards,Buncombe,Dunsmore Mountain,2009-04-30,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{1402A435-69E6-4054-BA58-722C85C3AD3F},POINT (279621.443099998 195648.800700001),1977-11-05 06:00:00,1
280208.284000002,193764.572900001,58234.0,379.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,,Debris,Slide,,,,Unmodified,,,,{A4EC6BAE-6A20-4164-A10C-1096F90E8146},POINT (280208.284000002 193764.572900001),1977-11-05 06:00:00,1
280247.073600002,193635.3825,58235.0,380.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{1E253805-39AB-4FD3-89BC-13EA7AA611F0},POINT (280247.073600002 193635.3825),1977-11-05 06:00:00,1
316880.544100001,201492.292599998,58773.0,5624.0,Landslide Hazard Mapping,Buncombe,Moffitt Hill,2008-10-29,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{15A01C44-89E2-40DB-AD0B-BCD4CFD6A063},POINT (316880.544100001 201492.292599998),1977-11-05 06:00:00,1
270343.773500003,209297.642299999,58778.0,5629.0,Landslide Hazard Mapping,Buncombe,Enka,2008-10-30,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{8C61171E-652F-4D20-80F3-BC8EB9419ADA},POINT (270343.773500003 209297.642299999),1977-11-05 06:00:00,1
277232.458800003,199611.4186,60622.0,5609.0,Landslide Hazard Mapping,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{0E326784-A521-4FCB-B2E7-902E8E064758},POINT (277232.458800003 199611.4186),1977-11-05 06:00:00,1
278181.462899998,198472.523899999,59166.0,5614.0,Landslide Hazard Mapping,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,,Debris,Slide,,,,Unmodified,,,,{2F065143-D321-4F59-8738-F8AFE9D23AE2},POINT (278181.462899998 198472.523899999),1977-11-05 06:00:00,1
278141.242299996,198398.6281,59167.0,5615.0,Landslide Hazard Mapping,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,,Debris,Slide,,,,Unmodified,,,,{8084562E-FC34-433F-9909-73DF4C9F5A7A},POINT (278141.242299996 198398.6281),1977-11-05 06:00:00,1
276954.101599999,196483.2863,59168.0,5620.0,Landslide Hazard Mapping,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{76743A6C-EAE7-42EF-9AE7-D09F3229A215},POINT (276954.101599999 196483.2863),1977-11-05 06:00:00,1
278109.8376,198712.059900001,59537.0,5384.0,Landslide Hazard Mapping,Buncombe,Dunsmore Mountain,2008-07-22,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{C5D210D8-A0EA-4D8F-83E0-99D058614BB4},POINT (278109.8376 198712.059900001),1977-11-05 06:00:00,1
278187.966499999,195316.352400001,59538.0,5385.0,Landslide Hazard Mapping,Buncombe,Dunsmore Mountain,2008-07-23,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{F1075FBE-439C-474A-8FE4-135E5AFD5556},POINT (278187.966499999 195316.352400001),1977-11-05 06:00:00,1
278221.975699998,195361.836199999,59663.0,5389.0,Landslide Hazard Mapping,Buncombe,Dunsmore Mountain,2008-07-23,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{379A63FA-D19E-4DE6-92A7-109601D61F0B},POINT (278221.975699998 195361.836199999),1977-11-05 06:00:00,1
278320.686499998,195353.874600001,59664.0,5390.0,Landslide Hazard Mapping,Buncombe,Dunsmore Mountain,2008-07-23,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{AE0BF1AE-9B08-48C2-AFF2-B5F779B58F8F},POINT (278320.686499998 195353.874600001),1977-11-05 06:00:00,1
273959.977399997,199294.471700001,60613.0,5587.0,Landslide Hazard Mapping,Buncombe,Dunsmore Mountain,2008-10-16,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road cut,,,,{0A080260-0725-4304-8119-0A33E34C0F88},POINT (273959.977399997 199294.471700001),1977-11-05 06:00:00,1
278473.948299997,197179.692299999,58009.0,389.0,Landslide Hazard Mapping,Buncombe,Dunsmore Mountain,2008-07-23,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{48DA9B5C-03B0-44E6-A432-7EFDEB3E0C06},POINT (278473.948299997 197179.692299999),1977-11-05 06:00:00,1
278299.841200002,197768.7951,57987.0,354.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road embankment,,,,{698A7F36-EECA-48BA-9E4E-E6970907C579},POINT (278299.841200002 197768.7951),1977-11-05 06:00:00,1
278193.608199999,198681.555300001,57986.0,353.0,Geohazards,Buncombe,Dunsmore Mountain,2008-07-22,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{770D8C88-3835-4E0B-8AEB-D969A1EFFFC0},POINT (278193.608199999 198681.555300001),1977-11-05 06:00:00,1
278200.682999998,195355.848200001,57995.0,361.0,Landslide Hazard Mapping,Buncombe,Dunsmore Mountain,2008-07-23,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{AC3C3CC8-7569-4DDC-976E-ABAEB67B7292},POINT (278200.682999998 195355.848200001),1977-11-05 06:00:00,1
274117.452100001,197217.316799998,57984.0,331.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{5DA4E4F5-F0DE-427A-AD60-B2963C95B6B6},POINT (274117.452100001 197217.316799998),1977-11-05 06:00:00,1
276486.747500002,198576.600000001,60617.0,5602.0,Landslide Hazard Mapping,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{CEB528E4-0C6F-460E-B2DF-FD06836C886A},POINT (276486.747500002 198576.600000001),1977-11-05 06:00:00,1
276946.3574,196841.473499998,60625.0,5622.0,Landslide Hazard Mapping,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{CDE744C1-4347-4B86-8D9F-C20D2E01835A},POINT (276946.3574 196841.473499998),1977-11-05 06:00:00,1
277019.888400003,196464.5372,60624.0,5621.0,Landslide Hazard Mapping,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{7056DF74-83CE-4521-ACD4-091B46F38B78},POINT (277019.888400003 196464.5372),1977-11-05 06:00:00,1
274868.799699999,197675.362300001,57926.0,336.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{3D7CD3AC-E65D-4FC2-B89A-F4AC4926CFD2},POINT (274868.799699999 197675.362300001),1977-11-05 06:00:00,1
