X,Y,OBJECTID,Process_ID,Project,County,Quad,Col_Date,Mvmnt_Date,SM_State,SM_Rate_1,SM_Mat_1,SM_Type_1,SM_Rate_2,SM_Mat_2,SM_Type_2,Slp_Config,Fatalities,Confidence,MapMethod,GlobalID,Sort_Date,IsLandslide,Avg_Rainfall_30day,Max_Rainfall_30day,Max_Rainfall_3day,R1d,R3d,R7d,R30d,API_14
311493.540100001,224218.409200001,58023.0,524.0,Blue Ridge Parkway,Buncombe,Montreat,2005-01-10,,,,Debris,Slide - translational,,,,Road cut,,,,{11C3A2BF-384C-4E7D-A2BC-E1BD700DA91F},2005-01-10,1,1.0112222499317594,6.201000213623047,6.201000213623047,0.0,6.9270002245903015,9.101000249385834,9.101000249385834,7.819102387792308
311465.130500004,224229.676199999,58024.0,525.0,Blue Ridge Parkway,Buncombe,Montreat,2005-01-10,,,,Debris,Slide,Extremely rapid (>5 m/sec),Debris,Flow,Road cut,,,,{1FBCBC6A-DF04-4AA3-80D8-EA65E6716927},2005-01-10,1,1.0112222499317594,6.201000213623047,6.201000213623047,0.0,6.9270002245903015,9.101000249385834,9.101000249385834,7.819102387792308
309707.939000003,224979.781199999,59122.0,2541.0,Blue Ridge Parkway,Buncombe,Montreat,2005-01-10,,,,Debris,Creep,,,,Road embankment,,,,{50BEFE2A-33D4-49AB-A4D4-31088A80DEBF},2005-01-10,1,0.8566666709052192,5.256999969482422,5.256999969482422,0.0,6.804000020027161,7.710000038146973,7.710000038146973,6.825860957147004
307863.539800003,226780.522999998,58047.0,532.0,Blue Ridge Parkway,Buncombe,Montreat,2005-01-11,,,,Rock,Slide - translational,,,,Road cut,,,,{C168B7E6-AE05-4E51-A429-B3FB6C80825C},2005-01-11,1,0.7710000038146972,5.256999969482422,5.256999969482422,0.0,5.256999969482422,6.804000020027161,7.710000038146973,6.35530507663445
297772.001599997,209321.451299999,57948.0,573.0,State Map,Buncombe,Oteen,2005-02-25,,,,Debris,Slide,,,,Embankment - Not road related,,,,{D2EDBD68-A995-49E0-B9B1-5CE28D8578F4},2005-02-25,1,2.2071333060661953,20.768999099731445,17.5939998626709,3.2109999656677246,20.804999828338623,42.60499894618988,66.21399918198586,43.690409669278374
298048.144599997,209361.830200002,57949.0,574.0,State Map,Buncombe,Oteen,2005-02-25,,,,Debris,Slide,,,,Embankment - Not road related,,,,{AB483B6E-606A-48A2-882A-CCF3DBC6BB8F},2005-02-25,1,2.2071333060661953,20.768999099731445,17.5939998626709,3.2109999656677246,20.804999828338623,42.60499894618988,66.21399918198586,43.690409669278374
293288.683200002,215520.274099998,58237.0,783.0,Blue Ridge Parkway,Buncombe,Craggy Pinnacle,2005-04-15,,,,Rock,Slide - translational,,,,Road cut,,,,{84DE872E-BDE3-4716-9779-FCB3C9B5B100},2005-04-15,1,4.131599995493889,28.516000747680664,12.949999809265137,12.949999809265137,23.847999572753906,34.084999561309814,123.94799986481667,56.521487297687685
301676.953400001,221776.3895,58159.0,641.0,Geohazards,Buncombe,Craggy Pinnacle,2005-05-11,,,,Debris,Slide,Extremely rapid (>5 m/sec),Debris,Flow,Unmodified,,,,{B45EC937-033E-44FC-848D-B68CD783798D},2005-05-11,1,2.237900008195235,18.163000106811523,0.0,0.0,0.0,2.412000013398938,67.13700024585705,20.47057964551232
314129.586978264,200111.68468841,58216.0,725.0,Landslide Hazard Mapping,Buncombe,Black Mountain,2005-07-07,,,,Rock,Slide,,Rock,Fall,Cut slope - Not road related,,,,{430B4290-D951-4EAF-B303-7C61D2E7C4FD},2005-07-07,1,8.796266654133797,61.5099983215332,13.758000373840332,1.2549999952316284,15.436000376939774,78.04900172352791,263.8879996240139,126.46252219352634
291228.618600003,198370.146899998,59184.0,2818.0,Landslide Hazard Mapping,Buncombe,Skyland,2006-05-01,,,,Weathered rock,Slide,,,,Road embankment,,,,{F448458D-07FE-4DF2-B5B4-33104D94A360},2006-05-01,1,3.414700006476293,27.410999298095703,0.0,0.0,0.0,25.523000478744507,102.44100019428879,52.59699362838422
291240.65898107,198094.557280201,61413.0,201610280001.0,Geohazards,Buncombe,Skyland,2006-06-18,,Active,Very slow (>16 mm/yr),Debris,Subsidence,,,,Embankment - Not road related,,,,{8A608E92-6EF5-4495-8C42-5D566C809CCB},2006-06-18,1,2.242800008125293,19.732999801635742,0.0,0.0,0.0,12.052000343799591,67.28400024375878,22.44772497424453
