"Cambic horizon"||30|||71|||||"25942677"|"16527815"
"Lithic contact"||71||||||||"25942677"|"16527816"
"Umbric epipedon"||0|||30|||||"25942677"|"16527817"
"Cambic horizon"||20|||41|||||"25942678"|"16527818"
"Lithic contact"||41||||||||"25942678"|"16527819"
"Umbric epipedon"||0|||20|||||"25942678"|"16527820"
"Lithic contact"|9|48|55|203|203|203|148|155|194|"25942713"|"16527821"
"Lithic contact"|9|48|55|203|203|203|148|155|194|"25942716"|"16527785"
"Ochric epipedon"|0|0|0|5|17|19|5|17|17|"25942789"|"16527832"
"Cambic horizon"|5|17|19|51|89|102|46|72|83|"25942789"|"16527833"
"Paralithic contact"|51|89|102|51|89|102|0|0|0|"25942789"|"16527834"
"Ochric epipedon"|0|0|0|5|13|17|5|13|17|"25942790"|"16527835"
"Cambic horizon"|5|13|17|38|78|102|35|65|89|"25942790"|"16527836"
"Ochric epipedon"|0|0|0|5|13|17|5|13|17|"25942787"|"16527827"
"Cambic horizon"|5|13|17|38|78|102|35|65|89|"25942787"|"16527828"
"Ochric epipedon"|0|0|0|5|17|19|5|17|17|"25942788"|"16527829"
"Cambic horizon"|5|17|19|51|89|102|46|72|83|"25942788"|"16527830"
"Paralithic contact"|51|89|102|51|89|102|0|0|0|"25942788"|"16527831"
"Ochric epipedon"|0|0|0|5|13|17|5|13|17|"25942785"|"16527822"
"Cambic horizon"|5|13|17|38|64|102|33|51|85|"25942785"|"16527823"
"Ochric epipedon"|0|0|0|5|8|17|5|8|17|"25942786"|"16527824"
"Cambic horizon"|5|8|17|51|71|102|46|63|85|"25942786"|"16527825"
"Paralithic contact"|51|71|102|51|71|102|0|0|0|"25942786"|"16527826"
"Ochric epipedon"|0|0|0|5|13|18||13||"25942791"|"16527837"
"Argillic horizon"|5|13|18|51|68|102||55||"25942791"|"16527838"
"Paralithic contact"|51|68|102|203|203|203||135||"25942791"|"16527839"
"Ochric epipedon"|0|0|0|5|13|18||13||"25942792"|"16527840"
"Argillic horizon"|5|13|18|48|74|95||61||"25942792"|"16527841"
"Ochric epipedon"|0|0|0|5|13|18||13||"25942793"|"16527842"
"Argillic horizon"|5|13|18|48|74|95||61||"25942793"|"16527843"
"Ochric epipedon"|0|0|0|5|13|18||13||"25942794"|"16527844"
"Argillic horizon"|5|13|18|51|68|102||55||"25942794"|"16527845"
"Paralithic contact"|51|68|102|203|203|203||135||"25942794"|"16527846"
"Ochric epipedon"|0|0|0|5|13|18||13||"25942795"|"16527847"
"Argillic horizon"|5|13|18|48|74|95||61||"25942795"|"16527848"
"Ochric epipedon"|0|0|0|5|13|18||13||"25942796"|"16527849"
"Argillic horizon"|5|13|18|51|68|102||55||"25942796"|"16527850"
"Paralithic contact"|51|68|102|203|203|203||135||"25942796"|"16527851"
"Ochric epipedon"|3|3|5|8|10|18|5|7|13|"25942813"|"16527903"
"Argillic horizon"|11|18|21|41|89|92|30|71|71|"25942813"|"16527904"
"Ochric epipedon"|3|3|5|6|10|30|3|7|25|"25942814"|"16527905"
"Paralithic contact"|41|74|122|41|74|122|0|0|0|"25942814"|"16527906"
"Argillic horizon"|9|18|38|34|64|109|25|46|71|"25942814"|"16527907"
"Ochric epipedon"|0|0|0|5|13|18|5|13|18|"25942799"|"16527852"
"Argillic horizon"|5|13|18|48|81|95|43|68|77|"25942799"|"16527853"
"Ochric epipedon"|0|0|0|5|13|18|5|13|18|"25942800"|"16527854"
"Argillic horizon"|5|13|18|51|97|102|46|84|84|"25942800"|"16527855"
"Paralithic contact"|51|97|102|51|97|102|0|0|0|"25942800"|"16527856"
"Ochric epipedon"|0|0|0|5|13|18|5|13|18|"25942797"|"16527857"
"Argillic horizon"|5|13|18|48|81|95|43|68|77|"25942797"|"16527858"
"Paralithic contact"|51|97|102|51|97|102|0|0|0|"25942798"|"16527859"
"Ochric epipedon"|0|0|0|5|13|18|5|13|18|"25942798"|"16527860"
"Argillic horizon"|5|13|18|51|97|102|46|84|84|"25942798"|"16527861"
"Ochric epipedon"|3|3|5|8|10|18|5|7|13|"25942820"|"16527898"
"Argillic horizon"|11|18|21|41|89|92|30|71|71|"25942820"|"16527899"
"Ochric epipedon"|3|3|5|6|10|30|3|7|25|"25942821"|"16527900"
"Paralithic contact"|41|74|122|41|74|122|0|0|0|"25942821"|"16527901"
