|"Moderately decomposed plant material"|"157195020"|"159877739"
"Silt loam"||"157195002"|"159877721"
"Loam"||"157194450"|"159877168"
"Fine sandy loam"||"157194023"|"159876741"
"Silt loam"||"157194483"|"159877201"
"Sandy loam"||"157194899"|"159877618"
"Sandy loam"||"157194388"|"159877106"
"Sandy loam"||"157195072"|"159877791"
"Loam"||"157195158"|"159877877"
"Loam"||"157194814"|"159877533"
"Loam"||"157194599"|"159877318"
"Loam"||"157195774"|"159878493"
"Sandy loam"||"157194126"|"159876844"
"Sandy loam"||"157195575"|"159878294"
"Loam"||"157195083"|"159877802"
"Fine sandy loam"||"157193871"|"159876587"
"Fine sandy loam"||"157194074"|"159876792"
"Fine sandy loam"||"157195726"|"159878445"
"Loam"||"157194595"|"159877314"
|"Weathered bedrock"|"157194229"|"159876947"
|"Bedrock"|"157194012"|"159876730"
"Fine sandy loam"||"157195221"|"159877940"
"Sandy clay loam"||"157194680"|"159877399"
"Sandy loam"||"157195440"|"159878159"
"Silt loam"||"157195738"|"159878457"
|"Weathered bedrock"|"157195601"|"159878320"
"Clay loam"||"157194461"|"159877179"
"Fine sandy loam"||"157193828"|"159876544"
"Sandy loam"||"157194715"|"159877434"
"Fine sandy loam"||"157195046"|"159877765"
"Loam"||"157194588"|"159877307"
|"Unweathered bedrock"|"157194345"|"159877063"
"Clay loam"||"157194376"|"159877094"
"Fine sandy loam"||"157195506"|"159878225"
"Loam"||"157194314"|"159877032"
"Loam"||"157195336"|"159878055"
"Loam"||"157195137"|"159877856"
"Loam"||"157193908"|"159876624"
"Sandy loam"||"157195716"|"159878435"
"Loamy sand"||"157193975"|"159876691"
"Sandy clay loam"||"157194921"|"159877640"
|"Unweathered bedrock"|"157194691"|"159877410"
"Loam"||"157195179"|"159877898"
"Sandy loam"||"157195252"|"159877971"
"Loam"||"157195325"|"159878044"
"Sandy loam"||"157194577"|"159877296"
|"Weathered bedrock"|"157194218"|"159876936"
"Clay loam"||"157194736"|"159877455"
"Loamy fine sand"||"157195471"|"159878190"
"Sandy loam"||"157194887"|"159877606"
"Clay loam"||"157194449"|"159877167"
"Sandy clay loam"||"157195094"|"159877813"
"Loam"||"157194048"|"159876766"
"Fine sandy loam"||"157194608"|"159877327"
"Loam"||"157194939"|"159877658"
"Fine sandy loam"||"157194293"|"159877011"
"Sandy loam"||"157194207"|"159876925"
"Loam"||"157194564"|"159877283"
"Sandy loam"||"157195727"|"159878446"
"Clay loam"||"157195377"|"159878096"
"Sandy clay loam"||"157195013"|"159877732"
"Sandy loam"||"157194699"|"159877418"
"Loam"||"157194181"|"159876899"
"Loam"||"157193793"|"159876509"
"Loam"||"157193850"|"159876566"
"Clay loam"||"157194910"|"159877629"
|"Weathered bedrock"|"157194525"|"159877244"
|"Weathered bedrock"|"157195815"|"159878534"
|"Weathered bedrock"|"157195473"|"159878192"
"Loam"||"157194085"|"159876803"
"Fine sandy loam"||"157194840"|"159877559"
"Sandy loam"||"157195243"|"159877962"
"Loam"||"157194022"|"159876740"
"Sandy loam"||"157194877"|"159877596"
|"Unweathered bedrock"|"157195789"|"159878508"
"Clay"||"157195484"|"159878203"
"Clay loam"||"157194873"|"159877592"
"Loam"||"157195453"|"159878172"
"Sandy clay"||"157193897"|"159876613"
"Clay loam"||"157195024"|"159877743"
"Loam"||"157194155"|"159876873"
"Sandy clay loam"||"157194170"|"159876888"
"Loam"||"157194658"|"159877377"
"Loam"||"157195690"|"159878409"
"Coarse sand"||"157194356"|"159877074"
"Loam"||"157194472"|"159877190"
"Fine sandy loam"||"157195168"|"159877887"
"Loam"||"157193806"|"159876522"
"Fine sandy loam"||"157195241"|"159877960"
"Loam"||"157194137"|"159876855"
"Loam"||"157195200"|"159877919"
"Loam"||"157193815"|"159876531"
"Sandy loam"||"157195460"|"159878179"
"Loam"||"157194575"|"159877294"
|"Bedrock"|"157195169"|"159877888"
"Loam"||"157195749"|"159878468"
"Loamy sand"||"157195841"|"159878560"
"Fine sandy loam"||"157194034"|"159876752"
"Sandy loam"||"157195337"|"159878056"
"Sandy loam"||"157195679"|"159878398"
"Loam"||"157195564"|"159878283"
"Fine sandy loam"||"157195035"|"159877754"
"Sand"||"157194494"|"159877212"
"Fine sandy loam"||"157194773"|"159877492"
"Loam"||"157194799"|"159877518"
"Loam"||"157194950"|"159877669"
"Sandy loam"||"157195556"|"159878275"
"Sandy loam"||"157195664"|"159878383"
"Sandy loam"||"157195775"|"159878494"
"Sandy loam"||"157194159"|"159876877"
"Fine sandy loam"||"157194460"|"159877178"
"Fine sandy loam"||"157195253"|"159877972"
"Sandy loam"||"157194335"|"159877053"
"Loam"||"157194898"|"159877617"
"Sandy loam"||"157194597"|"159877316"
"Sandy loam"||"157195432"|"159878151"
