"SC-SM"|Yes|"77518803"|"143504420"
"SC"|No |"77518803"|"143504419"
"SM"|No |"77518803"|"143504421"
"SC-SM"|Yes|"77518559"|"143504031"
"SM"|No |"77518559"|"143504032"
"SC-SM"|No |"77519088"|"143504867"
"ML"|Yes|"77519088"|"143504866"
"SC-SM"|No |"77518711"|"143504272"
"SC"|Yes|"77518711"|"143504271"
"SC-SM"|No |"77518619"|"143504131"
"SC"|Yes|"77518619"|"143504132"
"CH"|Yes|"77518718"|"143504287"
"CL"|No |"77518718"|"143504288"
"SC-SM"|Yes|"77518607"|"143504111"
"SM"|No |"77518607"|"143504110"
"CL"|Yes|"77518512"|"143503942"
"SC-SM"|No |"77518950"|"143504682"
"SM"|Yes|"77518950"|"143504683"
"CL"|Yes|"77518722"|"143504296"
"ML"|No |"77518722"|"143504297"
"SC"|No |"77518722"|"143504298"
"SM"|No |"77518722"|"143504299"
"CL"|Yes|"77518486"|"143503891"
"ML"|No |"77518486"|"143503890"
"SC-SM"|Yes|"77519204"|"143505102"
"SM"|No |"77519204"|"143505103"
"SC-SM"|No |"77519182"|"143505055"
"GM"|No |"77519182"|"143505054"
"SM"|Yes|"77519182"|"143505056"
"CL"|No |"77518549"|"143504010"
"SC"|Yes|"77518549"|"143504011"
"CH"|Yes|"77518825"|"143504457"
"CL"|No |"77518825"|"143504458"
"SC"|No |"77518825"|"143504459"
"CL-ML"|No |"77518692"|"143504225"
"ML"|Yes|"77518692"|"143504226"
"CL"|Yes|"77518700"|"143504243"
"ML"|No |"77518700"|"143504244"
"SC"|No |"77518700"|"143504245"
"SM"|No |"77518700"|"143504246"
"GP"|Yes|"77519130"|"143504944"
"GW"|No |"77519130"|"143504945"
"SP"|No |"77519130"|"143504946"
"SW"|No |"77519130"|"143504943"
"SC"|Yes|"77518930"|"143504656"
"SC-SM"|Yes|"77519141"|"143504968"
"SM"|No |"77519141"|"143504967"
"CL"|No |"77518777"|"143504368"
"SC"|Yes|"77518777"|"143504367"
"SM"|Yes|"77518744"|"143504324"
"SC"|Yes|"77518962"|"143504697"
"SC-SM"|No |"77518846"|"143504491"
"SM"|Yes|"77518846"|"143504492"
"GC-GM"|Yes|"77519336"|"143505382"
"GM"|No |"77519336"|"143505380"
"SM"|No |"77519336"|"143505381"
"SC-SM"|No |"77518951"|"143504685"
"SC"|Yes|"77518951"|"143504684"
"SC-SM"|No |"77519193"|"143505078"
"GM"|No |"77519193"|"143505077"
"SM"|Yes|"77519193"|"143505079"
"CL"|Yes|"77518781"|"143504374"
"SC-SM"|No |"77519254"|"143505220"
"ML"|No |"77519254"|"143505219"
"SM"|Yes|"77519254"|"143505221"
"CH"|Yes|"77518703"|"143504249"
"CL"|No |"77518703"|"143504250"
"SC-SM"|Yes|"77519138"|"143504961"
"SM"|No |"77519138"|"143504962"
"SC-SM"|Yes|"77519158"|"143505010"
"GC-GM"|No |"77519158"|"143505008"
"GM"|No |"77519158"|"143505009"
"SM"|No |"77519158"|"143505011"
"SC-SM"|No |"77518919"|"143504635"
"GC-GM"|No |"77518919"|"143504633"
"SC"|Yes|"77518919"|"143504634"
"GP-GC"|No |"77518622"|"143504138"
"SC"|Yes|"77518622"|"143504139"
"SC"|Yes|"77519034"|"143504801"
"SC"|Yes|"77518939"|"143504670"
"CL"|Yes|"77518497"|"143503913"
"CH"|Yes|"77519169"|"143505027"
"CL"|No |"77519169"|"143505028"
"GM"|No |"77518877"|"143504574"
"SM"|Yes|"77518877"|"143504575"
"CL-ML"|No |"77518674"|"143504204"
"ML"|Yes|"77518674"|"143504205"
"SC-SM"|No |"77519215"|"143505126"
"GM"|No |"77519215"|"143505125"
"SM"|Yes|"77519215"|"143505127"
"GC-GM"|No |"77519273"|"143505270"
"SC-SM"|Yes|"77519273"|"143505272"
"GM"|No |"77519273"|"143505271"
"SM"|No |"77519273"|"143505273"
"SP-SM"|No |"77518835"|"143504479"
"GP"|No |"77518835"|"143504478"
"SP"|Yes|"77518835"|"143504480"
"CL"|No |"77519284"|"143505289"
"ML"|Yes|"77519284"|"143505290"
"SC"|No |"77519284"|"143505291"
"SM"|No |"77519284"|"143505292"
"SC-SM"|Yes|"77518596"|"143504100"
"SM"|No |"77518596"|"143504099"
"SC-SM"|Yes|"77518570"|"143504049"
"SM"|No |"77518570"|"143504050"
"SC-SM"|No |"77519117"|"143504922"
"CL"|Yes|"77519117"|"143504921"
"MH"|No |"77518544"|"143503996"
"ML"|Yes|"77518544"|"143503997"
"OL"|Yes|"77518866"|"143504549"
"SM"|No |"77518866"|"143504550"
"SC-SM"|No |"77518961"|"143504695"
"SC"|Yes|"77518961"|"143504696"
"CL-ML"|No |"77518685"|"143504217"
"ML"|Yes|"77518685"|"143504218"
"SM"|Yes|"77518659"|"143504187"
"CL"|No |"77519295"|"143505314"
"ML"|Yes|"77519295"|"143505315"
"SC"|No |"77519295"|"143505316"
"SM"|No |"77519295"|"143505317"
"SM"|Yes|"77519064"|"143504830"
"ML"|No |"77518737"|"143504310"
"SM"|Yes|"77518737"|"143504311"
"SC-SM"|No |"77518857"|"143504527"
